larval_ID,pop_origin,photoperiod,full_treatment,5th_day,blocking_day,development_time,larval_mass,pupal_mass,sex,Experiment_Notes,percent_R,percent_G,percent_B,gray_R,gray_G,gray_B,darkness_G,initials
CO410,CO,16,CO16,10/17,10/24,7,3.3253,,,severe deformity,8.146,8.272,10.231,14.833,13.885,12.67,15.115,AC
CO411,CO,16,CO16,10/17,10/24,7,5.4598,3.9052,F,,13.422,13.386,15.494,12.651,12.047,10.907,16.953,AC
CO412,CO,16,CO16,10/17,10/25,8,4.1025,3.8073,F,,2.788,2.738,3.669,18.121,17.53,15.911,11.47,AC
CO413,CO,16,CO16,10/17,10/24,7,3.363,2.6461,M,,16.822,15.829,19.735,15.464,14.438,14.006,14.562,AC
CO414,CO,16,CO16,10/17,10/25,8,3.1592,2.7156,M,,11.245,10.93,13.021,13.946,13.29,12.665,15.71,AC
CO415,CO,16,CO16,10/17,10/25,8,3.6652,2.7654,M,,10.681,10.314,12.66,14.25,13.41,12.675,15.59,AC
CO416,CO,16,CO16,10/18,10/25,7,3.6208,1.4393,M,,15.949,16.333,19.737,11.987,11.381,10.059,17.619,AC
CO417,CO,16,CO16,10/19,10/27,8,2.9667,2.4831,M,,14.36,13.331,17.211,12.609,11.015,11.246,17.985,AC
CO418,CO,16,CO16,10/21,10/28,7,4.2524,4.3068,F,,14.935,13.219,19.233,13.165,10.667,12.382,18.333,AC
CO419,CO,16,CO16,10/21,10/27,6,4.2271,3.2357,M,,5.157,4.94,6.49,15.304,14.206,13.38,14.794,AC
CO420,CO,16,CO16,10/22,10/29,7,5.2357,3.9379,F,,10.939,10.514,12.524,9.452,8.569,8.274,20.431,AC
CO421,CO,16,CO16,10/22,10/29,7,3.4028,2.7944,M,,14.732,9.025,11.369,17.234,12.119,12.303,16.881,AC
CO422,CO,16,CO16,10/22,10/29,7,4.0435,3.055,M,,5.376,4.624,6.35,17.4,16.16,14.814,12.84,AC
CO423,CO,16,CO16,10/22,10/30,8,5.1542,4.0597,F,,42.954,43.012,47.405,6.755,6.411,6.076,22.589,AC
CO424,CO,16,CO16,10/23,10/30,7,5.4362,3.8043,F,,4.722,4.463,5.715,13.774,12.749,12.033,16.251,AC
CO425,CO,16,CO16,10/23,10/29,6,4.9721,2.6972,M,,17.411,16.867,20.951,12.743,12.087,11.472,16.913,AC
